Title,Genre,Description
Dabangg 3,"Action, Comedy            ","    Chulbul Pandey encounters an enemy from his past, and his origin story as the fearless cop unfolds."
MSG 2 the Messenger,"Comedy, Drama, Fantasy            ","    MSG 2 The Messenger is based on true events of Dera Sacha Sauda in years 2000-2001. Although the main story line is true, action & comedy is added for entertainment. Saint Gurmeet Ram Rahim...                See full summary »"
Manikarnika: The Queen of Jhansi,"Action, Biography, Drama            ","    Story of Rani Lakshmibai, one of the leading figures of the Indian Rebellion of 1857 and her resistance to the British Rule."
Race Gurram,"Action, Comedy            ","    Two brothers have two different approaches to life. While one brother follows rules and regulations, the other does things his own way."
Okkadu,"Action, Romance, Sport            ",    A Kabbadi player rescues a young woman from an unwanted marriage and hides her in his home.
Bommarillu,"Comedy, Drama, Romance            ",    A young man realizes that he has to push back against his domineering father if he wants to find true happiness and love.
Atharintiki Daaredi,"Comedy, Drama            ",    The scion of a powerful family is tasked with retrieving an estranged family member.
Khaleja,"Action, Comedy, Fantasy            ","    When a mysterious illness ravages a remote village, the villagers embrace a reluctant taxi driver as their savior."
Yennai Arindhaal,"Action, Thriller            ","    Sathyadev, a sincere police officer, tries to stop an organ trafficking racket. But he is unaware that the man performing the illegal trade is the same person who killed his beloved."
Thalaivaa,"Action, Drama, Thriller            ","    A son steps into his father's shoes, has to win a bloody war before he becomes the leader."
Kaala,"Action, Drama            ",    Kaala is about the life of Nellai / Tirunelveli based Tamils who live in large number in Mumbai.
Bairavaa,"Action, Thriller            ","    Bairavaa, a gallant debt collector, takes on a violent criminal masquerading as a philanthropist in the education field."
Goodachari,"Action, Thriller            ","    A young NSA agent is framed for the murder of his bosses making him realize that now his mission is darker than expected and has some personal scores to settle regarding his father's death, a former NSA agent."
Puli,"Action, Adventure, Fantasy            ",    A virtuous soldier tries to save people from an evil queen and a throne-seeking commander.
Pulimurugan,Action            ,"    When a small village near a forest is under the threat of man eating tigers and a drug mafia, the villagers seek the help of an unstoppable force, a hunter invincible."
Veeram,Action            ,"    Vinayagam, an honest man, uses violence to settle disputes. He decides to mend his ways for his lover's sake. Hell breaks loose when he learns about a gang of rowdies following his lover's family."
Vedam,"Action, Drama            ",    A terrorist threat puts five people in jeopardy.
Yevadu,"Action, Thriller            ","    A young man receives a life-saving face transplant after he is critically injured and his girlfriend murdered in a vicious attack. Unrecognisable to his enemies, he sets out for revenge."
Aravindha Sametha Veera Raghava,"Action, Drama            ",    A young scion of a powerful family with a long history of violence decides to put an end to the bloodshed which leads him to a path of self discovery.
Billa,"Action, Thriller            ","    A cop chases international gangster Billa and happens to be the only one to see him die. He places Velu, Billa's lookalike, inside the gang to get information. But Velu is framed for killing the cop."
Jersey,"Drama, Sport            ",    A failed cricketer decides to revive his cricketing career in his late 30's despite everyone being skeptical of his ability to do so.
Sye Raa Narasimha Reddy,"Action, Adventure, Drama            ","    A historical action epic inspired by the life of Uyyalawada Narasimha Reddy, who revolted against the atrocities of East India Company 10 years before the Sepoy Mutiny."
Ala Vaikunthapurramuloo,"Action, Drama            ",    A jealous clerk secretly switches his newborn son with his millionaire friend's temporarily stillborn son.
Janatha Garage,"Action, Drama            ","    An environmental activist comes to Hyderabad to attend a seminar, where an unexpected encounter with a man who runs an organization for the oppressed, changes his purpose in life."
Gabbar Singh,"Action, Comedy            ","    Venkatarathnam Naidu (Pawan Kalyan), son of Suhasini and step son of Nagineedu calls himself as Gabbar Singh after liking the character from Sholay. He turns as a cop and gets posted to his...                See full summary »"
Temper,"Action, Drama            ","    Daya, a corrupt police officer, finds his life changing when he takes on a case of gang rape."
Game Over,"Drama, Thriller            ",    A nyctophobic woman has to fight her inner demons to stay alive in the game called life.
Singam 2,"Action, Thriller            ",    Tough cop Durai Singam performs an undercover operation and identifies some nefarious activities in the seas around the coastal town.
Dhruva,"Action, Thriller            ","    A committed police officer is on a very dangerous mission to destroy the most corrupt person in the country, Siddharth Abhimanyu."
Jalsa,"Action, Comedy            ",    A carefree young man's past compels him to confront a criminal boss to acquire land rights.
Maharshi,"Action, Drama            ","    Rishi, a millionaire businessman, returns to his homeland, where he becomes the champion of poor and downtrodden farmers."
Pelli Choopulu,"Comedy, Drama, Romance            ","    This is an urban rom-com in a modern setting where tradition still has a strong hold. The story starts with the ""pellichoopulu"" or arranged meeting of Prashanth (Vijay Deverakonda) and ...                See full summary »"
Arya 2,"Action, Comedy            ",    A psychotic willing to sacrifice anything for friendship transforms himself for the sake of his best friend who's not really fond of him.
Chekka Chivantha Vaanam,"Action, Crime, Drama            ",    A bloody power struggle erupts between three brothers who are vying to take over the family business following the death of their father.
Naa Peru Surya Na Illu India,"Action, Drama            ","    A short tempered soldier aspiring to serve at the borders is tasked with getting clearance signature from his estranged father, a professor, who in turn challenges him to give up anger."
Ki & Ka,"Comedy, Romance            ","    Follows a young, married couple whose relationship challenges the gender roles placed upon women and men in Indian society."
Seethamma Vakitlo Sirimalle Chettu,"Comedy, Drama, Family            ","    An exuberant and evocative family drama, that primarily revolves around the close bond between two brothers with radically different personalities, highlighting the complex process of choosing an ideal life partner for each of them."
Singam 3,"Action, Thriller            ",    Uncompromising police chief Durai Singam battles against a criminal operation dealing in deadly toxic waste.
Agent Sai Srinivasa Athreya,"Action, Comedy, Crime            ",    Agent Sai Srinivasa Athreya is an authentic humorous investigative thriller revolving around the adventures of a detective based out of Nellore.
Jai Lava Kusa,"Action, Drama            ","    Sidelined at a very young age due to stammering, the eldest of identical triplets develops hatred for his younger brothers and creates havoc in their lives as they all reunite as adults."
Arya,"Action, Drama, Romance            ","    Arya (Allu Arjun) is a happy-go-lucky, college-going youth with an attitude. He falls in love with Geeta (Anuradha Mehta) at first sight. He proposes to her in front of her boyfriend Siva. ...                See full summary »"
Maattrraan,"Action, Sci-Fi, Thriller            ","    Conjoined twins Vimalan and Akhilan involve themselves in a series of deaths involving their father's company. However, the truths that they initially uncover lead to a bigger conspiracy, one that spans across the globe."
Kochadaiiyaan,"Animation, Action            ",    A saga of revenge undertaken by a son for his father's name and his kingdom.
Thaanaa Serndha Koottam,"Action, Comedy, Crime            ","    Angered by the corruption that stopped him from becoming a CBI officer, a young man forms a gang who pose as CBI officers and raids the corrupt."
OK Kanmani,Romance            ,"    Two young lovers are compatible in every way - they even agree that marriage is futile. However, their emotions are not so easily managed, especially when they witness the unconditional love of the older couple with whom they live."
Dear Comrade,"Action, Drama, Romance            ",    A hot-blooded student union leader falls for a state-level cricketer but his anger management issues and violent streak threatens to derail their love story.
Happy Days,Drama            ,"    The movie revolves around eight youngsters, who become good friends in their freshman years when they join the college for their Bachelors in Engineering (B.E.). The life of these young ...                See full summary »"
Sarileru Neekevvaru,"Action, Comedy, Drama            ",    A tough army major is deployed to Kurnool on a mission to keep the country safe from external threats.
Julayi,"Action, Comedy            ",    A happy-go-lucky man with wit and an instinct to kill teams up with a timid cop after being pursued by the criminal whose plans to rob a bank he foiled.
Kshanam,Thriller            ,"    Rishi, a non-resident Indian, returns to India to help his ex-lover find her kidnapped daughter."
Oopiri,"Comedy, Drama            ","    Impressed by his carefree attitude, Vikram, a quadriplegic multi-billionaire, hires a convict out on parole as his caretaker. What follows is a string of life lessons they learn from each other."
Baadshah,"Action, Comedy            ","    Fast-paced and fiery, this action-oriented revenge thriller follows the transformation of a young man, from an IPS aspirant into fearless Baadshah, an avenging angel wreaking vengeance upon the mafia kingpin, Saadu Bhai."
3,"Drama, Mystery, Romance            ","    Ram and Janani's three stages of love - their attraction for each other during their school days, their love at college days, and the relationship when they mature, are explored in this romantic tale."
Sarrainodu,"Action, Drama            ",    An intense battle breaks out between an evil son of a politician and an ex army man who can't tolerate injustice.
Kick,"Action, Comedy            ",    An adrenaline junkie's quest for kicks leads him to a life of crime.
Leader,Drama            ,"    A well educated idealist, who is a son of Political leader in power wants to correct the rigged political system of favors and corruption. However, this soon becomes a game of power. How ...                See full summary »"
Anjaan,"Action, Musical, Thriller            ","    Raju Bhai and Chandru head a thriving gang dismantling everyone coming their way. However when their success reaches the dreaded Imran, their lives take a turn."
Khushi,"Drama, Romance            ","    While playing matchmaker to a pair of their friends, two young university students begin developing feelings for each other."
Maya Bazaar,"Comedy, Drama, Family            ","    Balarama promises Subhadra to get his daughter married to her son. But when the Pandavas loses their kingdom to the Kaurava's, Balarama breaks his promise."
Rakhta Charitra,"Action, Biography, Crime            ",    A killer bandit decides to become a politician in order to avenge deaths in his family.
Mirchi,"Action, Drama            ","    A man returns to his country in order, ostensibly, to reform his girlfriend's violent family, but he seems to have a strange connection and a rather dark past."
Chatrapathi,"Action, Drama            ",    Displaced Sri Lankans in a Vizag port are ruled by a local rowdy. This is the story of Chatrapati Sivaji who overcomes this oppression and how he reunites with his long lost mother and brother.
C/o Kancharapalem,Drama            ,    Four unconventional love stories set in the town and including the people of Kancherapalem.
Sachein,"Comedy, Drama, Romance            ","    A love triangle on a college campus between two young students who try to deny their feelings for each other. The entry of a lecturer who has a soft corner for the boy, changes things around."
Murari,"Drama, Romance, Thriller            ",    A family is under a curse due to an old sin; due to which a male is bound to die every 48 years.
Vikramarkudu,Action            ,"    Vikram Rathod, a policeman, joins with a small time thief Satthi Babu who looks identical to him to avenge his own destruction."
Kuruthipunal,"Action, Drama, Thriller            ","    Suave and scintillating, this fast-paced action thriller follows the adventures and investigations of a group of honest police officers, who go undercover to bring down a terror network."
Brindaavanam,"Action, Comedy, Drama            ",    Krish (NTR) is the son of a billionaire businessman (mukesh Rishi). He has a girl friend Indu (samantha). Her friend Bhoomi (kajal) wants to pursue her higher studies and lands in trouble ...                See full summary »
Panjaa,"Action, Thriller            ",    A hitman invites the wrath of his boss after beating the latter's son to death for killing an innocent woman.
Nuvvu Naaku Nachchav,"Musical, Comedy, Family            ","    Venkateswarlu, aka Venky, comes Hyderabad to his father's friend's house where he meets an engaged girl . Things turn upside down when she expresses her love for him ."
Gopala Gopala,"Comedy, Drama, Fantasy            ",    An atheist sues god after losing his shop in an earthquake.
Kaappaan,"Action, Thriller            ","    A Special Protection Group officer has to identify the threat to the prime minister, who he is protecting, and also the nation."
Aagadu,"Action, Comedy            ",    An encounter specialist is transferred as CI to a village which is ruled by a local gangster
Masss,"Action, Comedy, Horror            ","    After a life-threatening accident, a man finds that he can communicate with the dead, and must decide whether to act on their advice."
Maanagaram,"Action, Thriller            ",    Four youngsters arrive in a big city and their lives become interlinked.
Drushyam,"Crime, Drama, Family            ","    Rambabu (Venkatesh Daggubati), a cable operator, tries to protect his family from paying the price for their accidental crime."
Yamadonga,"Action, Comedy, Fantasy            ","    A lovable scoundrel's life is cut short when he angers the god of death; however, he still has a few tricks up his sleeve."
S/O Satyamurthy,"Action, Drama            ",    A rich businessman's son faces multiple challenges after he becomes the sole breadwinner of his family.
Tholi Prema,"Drama, Romance            ","    Balu (Pawan Kalyan) falls in love with a girl at first sight but can't find a way to get to know her. He can't believe his luck when she approaches him, because her hobby is collecting the ...                See full summary »"
Awe!,Thriller            ,    Unusual(multiple) persons tend to meet at a Restaurant and their life-changing moments take place in order to know about a single person.
Yatra,"Biography, Drama, Romance            ",    An Indian politician takes up a decision to go on a 900-mile walking tour as a part of his election campaign. Yatra is an emotional tribute to the former Chief Minister of Andhra Pradesh Y. S. Rajasekhara Reddy.
Fidaa,"Drama, Romance            ","    Varun and Bhanu, both from different worlds, face challenges in their relationship."
Oosaravelli,"Action, Thriller            ","    A youngster, who does anything for money, avenges on those who killed the family of Niharika."
Evaru,"Crime, Drama, Thriller            ",    Sub-inspector Vikram Vasudev is entrusted with the task of investigating the murder of a high ranking officer who was killed by his alleged rape victim. When he delves deeper into the case he uncovers some surprising facts.
Odiyan,"Action, Drama, Fantasy            ","    The story of the Odiyan clan, one of the most dreaded, shape-shifting black magicians in the world which ruled the darkness of night through during the pre-electrification era in Kerala."
Khaidi No 150,"Action, Drama            ",    A man (Chiranjeevi) on the wrong side of the law is moved by the plight of farmers to do the right thing.
NGK,"Action, Drama            ","    An educated do-gooder is forced to enter politics in order to serve the society. But, will the old guard make way and allow him to do that?"
Duvvada Jagannadham,"Action, Comedy            ","    Trained by a high profile cop, an encounter specialist masquerading as a Brahmin priest takes on a real estate crime organization after losing his uncle."
Bale Bale Magadivoy,"Comedy, Romance            ",    An easily distracted scientist (Nani) goes to great lengths to make sure that his girlfriend (Lavanya Tripati) and her family members don't find out about his mental condition.
Shiva,"Action, Crime, Drama            ","    Shiva is disgusted by the corruption in and around his new college, and along with his friends, he decides to take a stand against the status quo."
Manmadhudu,"Comedy, Romance            ",    A misogynist is forced by circumstances to work with a woman.
Mr Perfect,"Drama, Romance            ","    Vicky (Prabhas), an expert in gaming software, lives in Australia and never compromises in his life, a principle he adheres to since his childhood. He believes that one should be oneself in...                See full summary »"
Orange,"Comedy, Drama, Romance            ","    A man, who doesn't believe that love can last a lifetime, pursues an exuberant romantic, but their clashing ideologies keep them apart."
Anirudh,"Action, Drama, Family            ","    To consolidate his position in the family, a man tries to arrange a marriage for his daughter, but the suitable boy he has in mind is already in love with another."
Gamyam,Drama            ,"    Two guys, one a thief and the other filthy rich, meet each other in a journey started by the latter in search of his love."
Kanche,"Action, Drama, History            ","    A rivalry between two men, based on caste and social status, extends from an Indian village to war torn Europe during WW2."
Naayak,Action            ,    A young man and his lookalike team up to fight injustice and settle their personal scores with the evildoers.
Malliswari,"Comedy, Romance            ","    When her father dies, a wealthy heiress is sent to another city to protect her from people who try to harm and manipulate her. Living under an assumed identity, she meets a handsome banker and falls in love with him."
Nuvvostanante Nenoddantana,Romance            ,"    Before he can marry his sweetheart, a wealthy city boy from England is challenged to prove his work ethic on a farm in rural India."
Ye Maaya Chesave,Romance            ,"    Karthik finishes engineering school and aspires to become a filmmaker. His friend Krishna takes him to director Puri Jagannath and pleads with him to take him as his assistant. Meanwhile, ...                See full summary »"
Sagara Sangamam,"Musical, Romance, Drama            ","    A classical dancer, Balakrishna, (Kamal Haasan) faces many struggles, but is eventually redeemed."
Rudhramadevi,"Action, Biography, History            ",    Queen Rudrama Devi's reign in southern India during the 13th century is herein recounted.
Cameraman Gangatho Rambabu,"Action, Drama            ",    A fast-paced socially relevant political drama that revolves around the struggles of an ordinary citizen against crime and political corruption.
Majili,"Drama, Romance            ",    A former cricket player nursing his wounds of a failed relationship takes up the task of training his ex-lover's daughter and in the process discovers his feelings towards his wife and her unrequited love for him.
Uttama Villain,"Comedy, Drama            ","    Manoranjan, a superstar, is counting his last days due to brain tumor. How he goes about his final wish of doing a comedy film with his mentor Margadarsi forms the crux of the story."
Arundhati,"Horror, Mystery, Thriller            ","    A brave queen battles an evil mystic. Three generations later, he comes back to haunt the queen's descendants."
Agnyaathavaasi,"Action, Drama            ","    An exiled heir to billionaire, returns after his father was murdered, as a regular employee to find out the killers and make things right in his company."
Pilla Zamindar,"Comedy, Drama            ",    PJ has to go through a rough journey of living like a common man and graduating from a village-based college to inherit his grandfather's wealth.
100% Love,"Comedy, Drama, Romance            ","    When his cousin Mahalakshmi comes to stay, Balu is challenged to an extent rare in his charmed life. Will Balu let himself be seduced by Mahalakshmi's bubbly spirit and sharp brain, or will his ego prove an insurmountable barrier?"
Aa Naluguru,Drama            ,    A man fights for his philosophy: that human relations are more important than money.
Darling,"Comedy, Drama, Romance            ","    To save himself from an unwanted marriage to a gangster's daughter, a man tells the story of reuniting with his childhood sweetheart in Switzerland."
Aha Naa Pellanta,Comedy            ,    Krishnamurthy (Rajendra Prasad) is the only son of industrialist Satyanarayana (Nutan Prasad). He wants his son to get married to a girl whom he has chosen because of his bitter experience ...                See full summary »
Vinaya Vidheya Rama,Action            ,"    When the happiness of his family is held to ransom by a violent crime lord, Ram sets out on a quest to destroy his nemesis and his criminal empire."
Happy,"Action, Comedy, Drama            ",    An orphan working as a Pizza delivery boy and the daughter of a caste-based politician are forced to get married in an unforeseen situation.
Ala Modalaindi,"Comedy, Drama, Romance            ","    On the day of his girlfriend's marriage, Gautam gets kidnapped by an unknown criminal. Bored on the way to the kidnapper's den, Gautam is forced to narrate his cute love story which is filled with loads of twists and turns."
Prasthanam,"Action, Drama            ",    A politician's hot-blooded son starts to rebel uncontrollably when his intelligent stepbrother is chosen as the heir to the throne.
Dhee,Comedy            ,    A guy who is irresponsible was joined to a job of accountent in local rowdy by his farher.he loves the sister of the rowdy after knowing she is having a threat from another local rowdy hero makes a plan to marry her and kil that rowdy ..
Iddarammayilatho,"Action, Thriller            ","    A young woman becomes embroiled in a financial and political conspiracy while studying in Spain, as she meets a young musician with a somewhat dark past unfolded through the pages of his lover's diary."
Simhadri,"Action, Drama            ","    Simhadri, A loyal servant in a landlords house also leads a secret life as Singamalai. A powerful leader in the state of Kerala"
Taxiwaala,"Comedy, Horror, Thriller            ","    A job monger, Shiva ends up as a taxiwala only to realise that his ride is a beyond what anyone could have expected."
Parugu,"Action, Romance            ",    A group of friends are tasked with finding the daughter of a village head who believes them to have helped her elope.
Rakhta Charitra 2,"Action, Biography, Crime            ","    After avenging the death of his father and brother, a man must now content with another vengeful male."
Maryada Ramanna,"Action, Comedy, Drama            ","    A man returns to his parents' village to claim his land. Along the way, he befriends a charming young woman. Unbeknownst to him, her family has a long-standing feud with his family."
Rachcha,Action            ,    A betting teenager involves in a larger bet than he imagined.
HIT,"Crime, Drama, Mystery            ","    Vikram is a 30-year-old cop. While he is battling with his own traumatic past, the stakes get high when a girl called Preethi mysteriously disappears in Hyderabad and Vikram has to solve the case at any cost."
Nota,Drama            ,    A bachelor who is unaware of the political world is appointed a Chief Minister when his corrupt father retires.
U Turn,"Mystery, Thriller            ",    The plot revolves around the death of motorists who break a traffic rule at a particular flyover in Hyderabad and the subsequent pinning down of the culprit by an intern journalist and police inspector duo.
Thammudu,"Action, Drama, Sport            ","    An aimless student is banished from his home by his father. When his brother, a boxing champion, gets injured, the student must step up and take his brother's place."
Zanjeer,"Action, Drama            ",    ACP Vijay Khanna is transferred to Mumbai where he will have do deal with the oil mafia led by Rudra Pratap Teja.
Ezra,"Horror, Mystery, Thriller            ","    A newly married woman brings an antique Jewish box into her home, unaware that the box contains the ghost of Abraham Ezra."
Bhaagamathie,"Action, Horror, Thriller            ","    IAS officer Chanchala Reddy is imprisoned in a haunted house, while she is interrogated by law enforcers investigating a politician they suspect of corruption."
Adhurs,"Action, Comedy, Thriller            ",    Male twins are separated at birth and live their lives in different backgrounds - until one gets abducted.
Aditya 369,"Family, Sci-Fi, Adventure            ","    A group of children use a time machine to investigate a robbery. The protagonist couple, in their attempt to rescue the kids, get stuck in the machine and travel all the way back to the ...                See full summary »"
Sardaar Gabbar Singh,"Action, Comedy            ",    A kingdom called Rathanpur was taken ruthlessly by a feudal lord named Bhairav Singh. The princess of that empire was in a hopeless situation until a maverick cop named Sardaar Gabbar Singh came along.
Gitanjali,"Drama, Romance            ","    On a fog swept chilly hill station, a terminally ill young man (Prakash) meets a boisterous girl (gitanjali). Love blossoms, but there's a shadow behind the light she radiates."
Ninnu Kori,"Comedy, Romance            ","    Two lovers, Pallavi and Uma get separated by circumstances, but reconnect years later, when Pallavi is happily married to someone else."
Indra,"Action, Drama            ","    Since 1965 bitter hatred and animosity has reigned between two families, namely that of Indrasen's and the Reddys, which results in the death of Indrasen's dad, and his two uncles, one of ...                See full summary »"
Vishwaroopam 2,"Action, Thriller            ","    A continuation of Vishwaroopam (2013), it showcases Wisam's relationship with his wife and team as he struggles to counter an impending terror attack planned by his archenemy, Omar."
Oru Adaar Love,"Comedy, Romance            ","    The movie depicts the life and times of a group of schoolmates who are best buddies. As they journey through the most memorable times of their lives, lasting friendships are forged and extraordinary tales of romance blossom."
Tholi Prema,Romance            ,    A love story that weathers time and emotions. Aditya sees Varsha and it is love at first sight for him. What transpires over the next 7 years is what makes their love stronger.
Brochevarevarura,Comedy            ,"    This is the story of 'R3 batch' consisting of Rocky, Rambo and Rahul, three friends who keep failing every year and are stuck with studying inter."
7/G Rainbow Colony,"Drama, Romance            ",    A neighborhood good-for-nothing attempts to romance the new girl in town.
Tagore,"Action, Drama            ","    Ravindranath Tagore, a physics professor, forms the ACF [Anti Corruption Force] along with his former students to take on corruption in society."
Gang Leader,"Action, Comedy            ","    Nani plays the gang leader of five women belonging to different age groups, helping them to plot revenge."
Bujjigaadu: Made in Chennai,"Action, Drama            ","    Bujji (Prabhas) runs away from his home in his childhood because of a dispute with his girlfriend Chitti (Trisha). He ends up in Chennai for 12 years, and the rest of the story is about how they meet now to make their love successful."
Sye,"Action, Drama, Sport            ",    Students of a college form a Rugby team and play against a violent gang of thugs to get back their college land.
Yevade Subramanyam,"Adventure, Comedy, Drama            ",    A man who is overly focused on long-term career goals is exposed to the opposite attitude in a friend who believes in living life to the fullest rather than sacrificing present joy for future success.
Mathu Vadalara,"Comedy, Crime, Thriller            ","    Simha is a courier delivery boy who gets peanuts as salary despite putting in a lot of hard work. As Babu gets frustrated with his job, his friend and roommate Satya shows him how to get '...                See full summary »"
Katamarayudu,"Action, Comedy            ",    A man with a violent streak is trying to reform but gets pushed into a situation where he has to take action.
Maari 2,"Action, Comedy            ","    Gangster Maari squares off against Beeja, a hardened criminal who considers himself to be the God of death."
Gautamiputra Satakarni,"Action, History            ",    This movie chronicles the life of a South Indian ruler of the Satavahana Empire in South India in the 2nd century CE.
Rx 100,"Action, Drama, Romance            ","    Believing his girlfriend loves him even after being married, a man waits for her return and in the process ignites violence."
A... Aa,"Comedy, Romance            ",    Anand and Anasuya meet each other on a train ride. The two eventually fall in love and have to fight for their relationship.
Aalavandhan,"Action, Thriller            ","    A psychopath tries to protect his twin brother from a lady he visualizes as his evil stepmother, and eventually ends up fighting with him."
F2: Fun and Frustration,Comedy            ,"    After Venky, Varun also gets married thinking he can keep the wife in control but both of them get frustrated with the marital life which generates fun."
The House Next Door,Horror            ,"    A young married couple begin to encounter several paranormal attacks, when a family moves into a neighbouring house, that is being haunted by a vengeful spirit, which leads them to perform an exorcism in order to help save the neighbours."
Krishna Gaadi Veera Prema Gaadha,"Action, Comedy, Romance            ","    Krishna (Nani) is a coward who is in love with Mahalakshmi (Mehreen Pirzada) and they have kept it a secret. Mahalakshmi is sister of Ramaraju, who in turn is a henchmen of Rajayya. At the ...                See full summary »"
Prince,"Action, Sci-Fi, Thriller            ",    A thief is caught in a race against time after he wakes up with no memory and has to find an antique coin which might be the root cause.
Sankarabharanam,"Drama, Musical, Romance            ","    The story of a rare and exceptional bond between the master of classical music Sankara Sastry and his admirer Tulasi, a woman from a family of prostitutes."
Thoongaavanam,"Action, Thriller            ","    A cop with a connection to the criminal underworld finds his secret life exposed when he and his partner are caught stealing cocaine from a powerful drug dealer, a move that puts his son's life in jeopardy."
Govindudu Andari Vaadele,"Action, Drama            ",    A man returns to India to find his family on the brink of a rift. He must push past his tendency to take everything lightly and work to heal his clan.
Anand,"Comedy, Drama, Musical            ","    A rich guy falls in love with an independent and strong-minded girl, and moves into her simple neighborhood to earn her love."
Raja Kumarudu,"Comedy, Drama, Romance            ","    After the passing away of his parents, Raja lives with his uncle Dhananjay. Dhananjay manages a hotel while Raja is a model. Raja meets Rani and both fall in love. Meanwhile, Dhananjay ...                See full summary »"
